,duration,orig_bytes,resp_bytes,missed_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes
597,3.157953,0.0,0.0,0.0,3.0,180.0,0.0,0.0
599,3.133932,0.0,0.0,0.0,3.0,180.0,0.0,0.0
600,3.112795,0.0,0.0,0.0,3.0,180.0,0.0,0.0
602,3.151425,0.0,0.0,0.0,3.0,180.0,0.0,0.0
603,3.129995,0.0,0.0,0.0,3.0,180.0,0.0,0.0
604,0.000751,39.0,39.0,0.0,1.0,67.0,1.0,67.0
605,3.119246,0.0,0.0,0.0,3.0,180.0,0.0,0.0
607,3.106231,0.0,0.0,0.0,3.0,180.0,0.0,0.0
608,3.125533,0.0,0.0,0.0,3.0,180.0,0.0,0.0
610,3.123459,0.0,0.0,0.0,3.0,180.0,0.0,0.0
612,3.082968,0.0,0.0,0.0,3.0,180.0,0.0,0.0
614,3.141742,0.0,0.0,0.0,3.0,180.0,0.0,0.0
616,32.990692,385.0,0.0,0.0,4.0,497.0,0.0,0.0
620,3.129702,0.0,0.0,0.0,3.0,180.0,0.0,0.0
621,3.085965,0.0,0.0,0.0,3.0,180.0,0.0,0.0
622,5.028617,78.0,103.0,0.0,2.0,134.0,1.0,131.0
624,3.116246,0.0,0.0,0.0,3.0,180.0,0.0,0.0
626,3.082518,0.0,0.0,0.0,3.0,180.0,0.0,0.0
627,3.156472,0.0,0.0,0.0,3.0,180.0,0.0,0.0
629,3.110273,0.0,0.0,0.0,3.0,180.0,0.0,0.0
630,3.102219,0.0,0.0,0.0,3.0,180.0,0.0,0.0
632,3.082771,0.0,0.0,0.0,3.0,180.0,0.0,0.0
633,3.128481,0.0,0.0,0.0,3.0,180.0,0.0,0.0
634,64.591999,2708.0,5463.0,0.0,13.0,3248.0,11.0,5911.0
636,3.085708,0.0,0.0,0.0,3.0,180.0,0.0,0.0
637,3.111272,0.0,0.0,0.0,3.0,180.0,0.0,0.0
638,0.011492,0.0,0.0,0.0,4.0,172.0,2.0,92.0
639,3.115754,0.0,0.0,0.0,3.0,180.0,0.0,0.0
642,3.139704,0.0,0.0,0.0,3.0,180.0,0.0,0.0
645,3.152692,0.0,0.0,0.0,3.0,180.0,0.0,0.0
646,3.135704,0.0,0.0,0.0,3.0,180.0,0.0,0.0
648,3.144469,0.0,0.0,0.0,3.0,180.0,0.0,0.0
650,3.099761,0.0,0.0,0.0,3.0,180.0,0.0,0.0
651,3.122234,0.0,0.0,0.0,3.0,180.0,0.0,0.0
652,3.090535,0.0,0.0,0.0,3.0,180.0,0.0,0.0
653,3.089501,0.0,0.0,0.0,3.0,180.0,0.0,0.0
654,0.245195,135.0,238.0,0.0,4.0,315.0,4.0,406.0
655,3.102468,0.0,0.0,0.0,3.0,180.0,0.0,0.0
656,3.118031,0.0,0.0,0.0,3.0,180.0,0.0,0.0
657,1.062396,67.0,233.0,0.0,7.0,451.0,7.0,605.0
660,3.118707,0.0,0.0,0.0,3.0,180.0,0.0,0.0
663,3.092979,0.0,0.0,0.0,3.0,180.0,0.0,0.0
664,3.094008,0.0,0.0,0.0,3.0,180.0,0.0,0.0
665,3.08549,0.0,0.0,0.0,3.0,180.0,0.0,0.0
667,3.15747,0.0,0.0,0.0,3.0,180.0,0.0,0.0
668,3.140204,0.0,0.0,0.0,3.0,180.0,0.0,0.0
669,0.109438,48.0,48.0,0.0,1.0,76.0,1.0,76.0
670,3.080794,0.0,0.0,0.0,3.0,180.0,0.0,0.0
676,3.08123,0.0,0.0,0.0,3.0,180.0,0.0,0.0
678,3.105472,0.0,0.0,0.0,3.0,180.0,0.0,0.0
680,3.108536,0.0,0.0,0.0,3.0,180.0,0.0,0.0
683,3.147982,0.0,0.0,0.0,3.0,180.0,0.0,0.0
685,3.093477,0.0,0.0,0.0,3.0,180.0,0.0,0.0
689,3.136193,0.0,0.0,0.0,3.0,180.0,0.0,0.0
690,3.142957,0.0,0.0,0.0,3.0,180.0,0.0,0.0
691,3.142494,0.0,0.0,0.0,3.0,180.0,0.0,0.0
692,3.10724,0.0,0.0,0.0,3.0,180.0,0.0,0.0
693,3.149456,0.0,0.0,0.0,3.0,180.0,0.0,0.0
697,3.116706,0.0,0.0,0.0,3.0,180.0,0.0,0.0
700,3.11349,0.0,0.0,0.0,3.0,180.0,0.0,0.0
707,3.147972,0.0,0.0,0.0,3.0,180.0,0.0,0.0
708,3.130453,0.0,0.0,0.0,3.0,180.0,0.0,0.0
710,3.104225,0.0,0.0,0.0,3.0,180.0,0.0,0.0
711,3.163455,116.0,0.0,0.0,2.0,172.0,0.0,0.0
712,3.093451,0.0,0.0,0.0,3.0,180.0,0.0,0.0
713,3.122252,0.0,0.0,0.0,3.0,180.0,0.0,0.0
714,40.988406,318.0,0.0,0.0,3.0,402.0,0.0,0.0
719,3.09146,0.0,0.0,0.0,3.0,180.0,0.0,0.0
721,3.092737,0.0,0.0,0.0,3.0,180.0,0.0,0.0
725,0.081204,48.0,48.0,0.0,1.0,76.0,1.0,76.0
726,3.11244,0.0,0.0,0.0,3.0,180.0,0.0,0.0
729,3.157442,0.0,0.0,0.0,3.0,180.0,0.0,0.0
730,3.140285,0.0,0.0,0.0,3.0,180.0,0.0,0.0
731,0.065719,48.0,48.0,0.0,1.0,76.0,1.0,76.0
732,3.156446,0.0,0.0,0.0,3.0,180.0,0.0,0.0
733,10.001552,288.0,288.0,0.0,6.0,456.0,6.0,456.0
734,3.014284,60.0,0.0,0.0,2.0,116.0,0.0,0.0
736,3.15674,0.0,0.0,0.0,3.0,180.0,0.0,0.0
738,0.141427,48.0,48.0,0.0,1.0,76.0,1.0,76.0
742,3.115002,0.0,0.0,0.0,3.0,180.0,0.0,0.0
744,0.01085,58.0,95.0,0.0,1.0,86.0,1.0,123.0
745,3.139437,0.0,0.0,0.0,3.0,180.0,0.0,0.0
746,3.128747,0.0,0.0,0.0,3.0,180.0,0.0,0.0
747,0.030981,45.0,45.0,0.0,1.0,73.0,1.0,73.0
748,3.103717,0.0,0.0,0.0,3.0,180.0,0.0,0.0
750,3.147966,0.0,0.0,0.0,3.0,180.0,0.0,0.0
751,0.025988,48.0,48.0,0.0,1.0,76.0,1.0,76.0
754,3.128475,0.0,0.0,0.0,3.0,180.0,0.0,0.0
757,3.13217,0.0,0.0,0.0,3.0,180.0,0.0,0.0
759,3.160232,0.0,0.0,0.0,3.0,180.0,0.0,0.0
761,3.097017,0.0,0.0,0.0,3.0,180.0,0.0,0.0
762,3.088265,0.0,0.0,0.0,3.0,180.0,0.0,0.0
764,3.117012,0.0,0.0,0.0,3.0,180.0,0.0,0.0
766,3.119008,0.0,0.0,0.0,3.0,180.0,0.0,0.0
768,3.146932,0.0,0.0,0.0,3.0,180.0,0.0,0.0
769,0.084453,48.0,48.0,0.0,1.0,76.0,1.0,76.0
770,3.104215,0.0,0.0,0.0,3.0,180.0,0.0,0.0
773,1.160585,151.0,112443.0,5792.0,78.0,4395.0,78.0,110715.0
774,3.157939,0.0,0.0,0.0,3.0,180.0,0.0,0.0
775,3.115499,0.0,0.0,0.0,3.0,180.0,0.0,0.0
776,3.110459,0.0,0.0,0.0,3.0,180.0,0.0,0.0
777,3.11267,0.0,0.0,0.0,3.0,180.0,0.0,0.0
778,0.309816,0.0,0.0,0.0,2.0,80.0,2.0,80.0
779,0.116683,96.0,96.0,0.0,2.0,152.0,2.0,152.0
781,0.03849,0.0,0.0,0.0,4.0,216.0,2.0,112.0
785,3.122437,0.0,0.0,0.0,3.0,180.0,0.0,0.0
